Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Autonomous Districts,46,ST,Assam,Gilbert G. Swell,Hill Leaders Conference,"3,20,132","1,53,235",47.9 %,"35,149",22.90%,1962
Azamgarh,403,GEN,Uttar Pradesh [1947 - 1999],Ram Harkh,Indian National Congress,"4,37,772","2,20,038",50.3 %,"11,396",5.20%,1962
Badagara,133,GEN,Kerala,A. V. Raghavan,Independent,"4,63,498","3,43,312",74.1 %,"72,907",21.20%,1962
Bagaha,56,GEN,Bihar [1947 - 1999],Kamal Nath Tewari,Indian National Congress,"3,85,005","1,88,598",49.0 %,"17,174",9.10%,1962
Bahraich,391,GEN,Uttar Pradesh [1947 - 1999],Kunwar Ram Singh,Swatantra,"4,43,936","1,73,376",39.1 %,"2,225",1.30%,1962
Balaghat,168,GEN,Madhya Pradesh [1947 - 1999],Bholaram Ramaji,Praja Socialist Party,"4,15,891","1,87,906",45.2 %,"2,892",1.50%,1962
Balasore,314,GEN,Orissa,Gokulananda Mahanty,Indian National Congress,"4,26,296","1,58,368",37.2 %,"29,559",18.70%,1962
Ballia,406,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar,Indian National Congress,"4,25,638","2,19,215",51.5 %,"35,793",16.30%,1962
Baloda Bazar,162,SC,Madhya Pradesh [1947 - 1999],Minimata,Indian National Congress,"4,27,546","1,35,792",31.8 %,"33,006",24.30%,1962
Balrampur,392,GEN,Uttar Pradesh [1947 - 1999],Subhadra Joshi,Indian National Congress,"4,66,671","2,44,330",52.4 %,"2,052",0.80%,1962
Balurghat,450,ST,West Bengal,Sarkar Murmu,Communist Party Of India,"4,76,197","2,75,027",57.8 %,"9,820",3.60%,1962
Banaskantha,116,GEN,Gujarat,Joharaben Akabarbhai Chavada,Indian National Congress,"4,41,054","2,07,282",47.0 %,"54,956",26.50%,1962
Banda,419,GEN,Uttar Pradesh [1947 - 1999],Savitri Nigam,Indian National Congress,"4,20,121","1,31,262",31.2 %,"13,681",10.40%,1962
Bangalore City,291,GEN,Mysore,K. Hanumanthaiah,Indian National Congress,"3,92,753","2,19,276",55.8 %,"60,539",27.60%,1962
Banglore,292,GEN,Mysore,H. C. Dasappa,Indian National Congress,"4,24,993","2,90,091",68.3 %,"24,403",8.40%,1962
Banka,82,GEN,Bihar [1947 - 1999],Shakuntala Devi,Indian National Congress,"4,12,008","1,64,957",40.0 %,"37,394",22.70%,1962
Bankura,476,GEN,West Bengal,Ramgati Bandopadhyay,Indian National Congress,"4,53,776","1,51,859",33.5 %,"27,444",18.10%,1962
Bansgaon,397,SC,Uttar Pradesh [1947 - 1999],Mahadeo Prasad,Indian National Congress,"4,49,091","1,81,054",40.3 %,"49,050",27.10%,1962
Bansi,396,SC,Uttar Pradesh [1947 - 1999],Sheo Narain,Indian National Congress,"3,98,156","1,95,944",49.2 %,"52,755",26.90%,1962
Banswara,349,ST,Rajasthan,Ratan Lal,Indian National Congress,"4,44,026","2,64,923",59.7 %,"21,174",8.00%,1962
Bara Banki,389,GEN,Uttar Pradesh [1947 - 1999],Ram Sewak Yadav,Socialist,"4,32,123","2,33,201",54.0 %,321,0.10%,1962
Baramati,234,GEN,Maharashtra,Gulab Keshav Jedhe,Indian National Congress,"3,94,076","2,02,813",51.5 %,"61,587",30.40%,1962
Barasat,455,GEN,West Bengal,Arun Chandra Guha,Indian National Congress,"6,47,008","3,85,859",59.6 %,"46,803",12.10%,1962
Bareilly,370,GEN,Uttar Pradesh [1947 - 1999],Brijraj Singh,Jan Sangh,"3,86,337","1,95,937",50.7 %,"11,350",5.80%,1962
Barh,89,GEN,Bihar [1947 - 1999],Tarkeshwari Sinha,Indian National Congress,"3,77,162","1,91,615",50.8 %,"38,221",19.90%,1962
Barmer,355,GEN,Rajasthan,Tan Singh,Akhil Bharatiya Ram Rajya Parishad,"5,17,490","2,02,535",39.1 %,"17,711",8.70%,1962
Baroda,126,GEN,Gujarat,Shrimant Maharaja Fatehsinhrao Pratapsinhrao Gaekwad,Indian National Congress,"4,46,026","2,73,079",61.2 %,"1,43,972",52.70%,1962
Barpeta,50,GEN,Assam,Renuka Devi Barkataki,Indian National Congress,"4,50,184","2,32,351",51.6 %,"22,591",9.70%,1962
Barrackpore,456,GEN,West Bengal,Renu Chakraborty,Communist Party Of India,"5,87,830","4,04,181",68.8 %,"94,424",23.40%,1962
Basirhat,457,GEN,West Bengal,Humayun Kabir,Indian National Congress,"5,19,902","3,22,678",62.1 %,"54,059",16.80%,1962
Bastar,165,ST,Madhya Pradesh [1947 - 1999],Lakhmu Bhawani,Independent,"4,21,440","2,18,854",51.9 %,"26,209",12.00%,1962
Basti,394,GEN,Uttar Pradesh [1947 - 1999],Keshava Deva Malaviya,Indian National Congress,"4,14,207","2,15,609",52.1 %,"18,921",8.80%,1962
Begusarai,87,GEN,Bihar [1947 - 1999],Mathura Prasad Mishra,Indian National Congress,"4,04,740","2,16,821",53.6 %,"54,720",25.20%,1962
Belgaum,275,GEN,Mysore,Balavantrao Nagesharao Datar,Indian National Congress,"4,21,032","2,72,951",64.8 %,"18,077",6.60%,1962
Bellary,281,GEN,Mysore,T. Subramanyam,Indian National Congress,"4,81,935","2,99,787",62.2 %,"11,317",3.80%,1962
Berhampur,453,GEN,West Bengal,Tridib Kumar Chaudhuri,Revolutionary Socialist Party,"5,33,222","3,00,297",56.3 %,"27,489",9.20%,1962
Bettiah,58,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,"3,80,043","1,45,637",38.3 %,"41,790",28.70%,1962
Bhadrak,313,SC,Orissa,Kanhu Charan Jena,Indian National Congress,"4,82,279","1,30,783",27.1 %,"48,297",36.90%,1962
Bhagalpur,83,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress,"4,36,725","2,12,747",48.7 %,"61,129",28.70%,1962
Bhandara,258,GEN,Maharashtra,Ramchandra Martand Harjarnavis,Indian National Congress,"4,39,103","2,85,916",65.1 %,"39,949",14.00%,1962
Bhanjanagar,299,SC,Orissa,Mohan Nayak,Indian National Congress,"4,03,922","48,650",12.0 %,"34,124",70.10%,1962
Bharatpur,343,GEN,Rajasthan,Raj Bahadur,Indian National Congress,"4,67,434","2,90,787",62.2 %,"11,891",4.10%,1962
Bhatinda,326,SC,Punjab,Dhanna Singh,Akali Dal,"4,83,721","3,22,843",66.7 %,"58,021",18.00%,1962
Bhavnagar,115,GEN,Gujarat,Jashvantrai Nanubhai Mehta,Praja Socialist Party,"4,48,886","2,11,500",47.1 %,"9,874",4.70%,1962
Bhilwara,352,GEN,Rajasthan,Kalu Lal Shrimali,Indian National Congress,"4,56,499","1,70,723",37.4 %,"42,170",24.70%,1962
Bhind,149,SC,Madhya Pradesh [1947 - 1999],Suraj Prasad Alias Surya Prashad,Indian National Congress,"4,67,201","2,38,495",51.1 %,"2,787",1.20%,1962
Bhir,266,GEN,Maharashtra,Dwarkadasji Motilalji,Indian National Congress,"4,35,591","1,80,582",41.5 %,"20,529",11.40%,1962
Bhiwandi,231,ST,Maharashtra,Shrimant Maharaj Saheb Yashwantro Martanrao Mukane,Indian National Congress,"4,16,369","2,39,968",57.6 %,"39,674",16.50%,1962
Bhopal,176,GEN,Madhya Pradesh [1947 - 1999],Maimoona Sultan,Indian National Congress,"5,07,527","2,36,088",46.5 %,"19,306",8.20%,1962
Bhubaneswar,309,GEN,Orissa,Raja Purna Chandra Deo Bhanj,Indian National Congress,"4,54,994","1,35,778",29.8 %,"37,494",27.60%,1962
Bidar,270,SC,Mysore,Ramachander Veerappa,Indian National Congress,"4,16,621","1,95,447",46.9 %,"54,302",27.80%,1962
Bijapur North,272,GEN,Mysore,Rajaram Giridharalal Dubey,Indian National Congress,"3,93,246","2,00,408",51.0 %,"41,996",21.00%,1962
Bijapur South,273,GEN,Mysore,Sanganagouda Basanagouda Patil,Indian National Congress,"4,30,246","2,68,395",62.4 %,"1,21,029",45.10%,1962
Bijnor,364,GEN,Uttar Pradesh [1947 - 1999],Prakash Vir Shastri,Independent,"4,00,418","2,69,931",67.4 %,"49,193",18.20%,1962
Bikaner,357,GEN,Rajasthan,Karni Singh,Independent,"4,68,948","2,60,370",55.5 %,"1,15,067",44.20%,1962
Bikramganj,93,GEN,Bihar [1947 - 1999],Ram Subhag Singh,Indian National Congress,"4,23,247","2,35,421",55.6 %,"10,664",4.50%,1962
Bilaspur,161,GEN,Madhya Pradesh [1947 - 1999],Satya Prakash,Independent,"4,39,048","1,62,780",37.1 %,"2,171",1.30%,1962
Bilhaur,425,GEN,Uttar Pradesh [1947 - 1999],Brij Behari Mehrotra,Indian National Congress,"4,47,601","2,28,694",51.1 %,"5,866",2.60%,1962
Birbhum,481,SC,West Bengal,Sisir Kumar Saha,Indian National Congress,"4,72,551","1,80,916",38.3 %,"32,404",17.90%,1962
Bisauli,368,GEN,Uttar Pradesh [1947 - 1999],Ansar Harvani,Indian National Congress,"3,95,128","1,98,322",50.2 %,"17,163",8.70%,1962
Bolangir,302,SC,Orissa,Mahanand Hrushikesh,Ganatantra Parishad,"4,20,780","92,662",22.0 %,"18,019",19.40%,1962
Bombay City Central North,228,SC,Maharashtra,Narayan Sadoba Kajrolkar,Indian National Congress,"5,05,136","3,17,126",62.8 %,"54,144",17.10%,1962
Bombay City Central South,227,GEN,Maharashtra,Vithal Balkrishna Gandhi,Indian National Congress,"5,04,610","3,09,456",61.3 %,"38,578",12.50%,1962
Bombay City North,229,GEN,Maharashtra,V. K. Krishna Menon,Indian National Congress,"7,64,016","4,83,190",63.2 %,"1,45,358",30.10%,1962
Bombay City South,226,GEN,Maharashtra,Sadashiv Kanoji Patil,Indian National Congress,"4,23,466","2,47,339",58.4 %,"1,00,627",40.70%,1962
Broach,127,GEN,Gujarat,Chhotubhai Makanbhai Patel,Indian National Congress,"4,29,499","2,93,564",68.4 %,"28,037",9.60%,1962
Budaun,369,GEN,Uttar Pradesh [1947 - 1999],Omkar Singh,Jan Sangh,"4,04,385","2,23,283",55.2 %,"16,785",7.50%,1962
Bulandsahar,438,GEN,Uttar Pradesh [1947 - 1999],Surendra Pal Singh,Indian National Congress,"4,29,674","2,57,956",60.0 %,"16,954",6.60%,1962
Buldana,252,GEN,Maharashtra,Shivaram Rango Rane,Indian National Congress,"4,28,466","3,01,310",70.3 %,"82,179",27.30%,1962
Bulsar,130,ST,Gujarat,Nanubhai Nichhabhai Patel,Indian National Congress,"4,71,481","3,04,863",64.7 %,"3,659",1.20%,1962
Burdwan,479,GEN,West Bengal,Gurugobinda Basu,Indian National Congress,"5,34,273","2,87,685",53.9 %,"32,470",11.30%,1962
Buxar,92,GEN,Bihar [1947 - 1999],Anant Prasad Sharma,Indian National Congress,"4,53,468","2,34,087",51.6 %,"5,516",2.40%,1962
Cachar,44,GEN,Assam,Jyotsna Chanda,Indian National Congress,"3,83,045","2,01,609",52.6 %,"16,440",8.20%,1962
Calcutta Central,463,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,"4,03,254","2,69,526",66.8 %,"43,690",16.20%,1962
Calcutta East,462,GEN,West Bengal,Ranendra Nath Sen,Communist Party Of India,"4,71,011","3,20,419",68.0 %,"43,467",13.60%,1962
Calcutta North West,464,GEN,West Bengal,Asoke Kumar Sen,Indian National Congress,"4,15,122","2,68,078",64.6 %,"33,378",12.50%,1962
Calcutta South West,461,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,"4,32,966","2,92,873",67.6 %,"10,990",3.80%,1962
Chail,417,SC,Uttar Pradesh [1947 - 1999],Masuriya Din,Indian National Congress,"4,15,664","1,64,522",39.6 %,"33,879",20.60%,1962
Chamarajanagar,294,SC,Mysore,S. M. Siddaiah,Indian National Congress,"4,14,982","2,56,966",61.9 %,"47,398",18.40%,1962
Chamba,487,GEN,Himachal Pradesh,Chattar Singh,Indian National Congress,"1,81,428","52,769",29.1 %,"21,875",41.50%,1962
Chanda,260,GEN,Maharashtra,Lal Shyamshah Lal Bhagwanshah,Independent,"4,24,370","2,78,409",65.6 %,"42,911",15.40%,1962
Chandauli,412,GEN,Uttar Pradesh [1947 - 1999],Bal Krishna,Indian National Congress,"4,22,338","2,41,171",57.1 %,"1,785",0.70%,1962
Chandni Chowk,483,GEN,Delhi,Sham Nath,Indian National Congress,"2,01,891","1,44,048",71.4 %,"28,948",20.10%,1962
Chapra,61,GEN,Bihar [1947 - 1999],Ramsekhar Prasad Singh,Indian National Congress,"4,59,344","2,28,117",49.7 %,"21,204",9.30%,1962
Chatra,99,GEN,Bihar [1947 - 1999],Vijaya Raje,Swatantra,"3,79,753","1,48,344",39.1 %,"35,304",23.80%,1962
Chatrapur,298,GEN,Orissa,Sarma Ananta Tripathy,Indian National Congress,"4,13,107","82,677",20.0 %,"25,215",30.50%,1962
Cheepurupalli,3,GEN,Andhra Pradesh,Ravu Venkata Gopalakrishna Ranga Rao,Indian National Congress,"4,10,167","2,70,080",65.9 %,"24,964",9.20%,1962
Chhindwara,174,GEN,Madhya Pradesh [1947 - 1999],Bhikulal Lachhmichand,Indian National Congress,"4,62,730","1,79,836",38.9 %,"29,715",16.50%,1962
Chidambaram,195,GEN,Madras,R. Kangagosabai,Indian National Congress,"4,57,267","3,27,065",71.5 %,"4,060",1.20%,1962
Chikballapur,289,GEN,Mysore,K. Changalaraya Reddy,Indian National Congress,"4,50,873","2,69,677",59.8 %,"51,515",19.10%,1962
Chikodi,274,GEN,Mysore,Vasantrao Lakhagounda Patil,Indian National Congress,"3,96,721","2,54,055",64.0 %,"86,776",34.20%,1962
Chingleput,188,GEN,Madras,O. V. Alagesan,Indian National Congress,"4,29,553","3,32,465",77.4 %,"19,878",6.00%,1962
Chirayinkil,147,GEN,Kerala,M. K. Kumaran,Communist Party Of India,"4,37,189","3,11,762",71.3 %,"33,219",10.70%,1962
Chitradurga,282,GEN,Mysore,S. Veerabasappa,Indian National Congress,"5,02,170","3,30,704",65.9 %,"44,849",13.60%,1962
Chittor,22,GEN,Andhra Pradesh,Madabhusi Ananthasayanam Ayyangar,Indian National Congress,"4,37,788","2,96,142",67.7 %,"23,964",8.10%,1962
Chittorgarh,350,GEN,Rajasthan,Manikyalal,Indian National Congress,"4,23,187","1,79,397",42.4 %,"20,022",11.20%,1962
Coimbatore,205,GEN,Madras,P. R. Ramakrishnan,Indian National Congress,"5,09,869","3,98,104",78.1 %,"42,561",10.70%,1962
Contai,471,GEN,West Bengal,Basanta Kumar Das,Indian National Congress,"5,13,853","3,32,199",64.7 %,"85,408",25.70%,1962
Cooch Behar,446,SC,West Bengal,Debendra Nath Karjee,Forward Block,"5,33,835","2,59,577",48.6 %,"31,760",12.20%,1962
Cuddalore,194,GEN,Madras,T. Ramabadra Naidu,Dravida Munetra Kazhagam,"4,79,031","3,24,795",67.8 %,"35,387",10.90%,1962
Cuddapah,24,GEN,Andhra Pradesh,Yeddula Eswara Reddy,Communist Party Of India,"4,97,180","3,71,945",74.8 %,"20,867",5.60%,1962
Cuttack,310,GEN,Orissa,Nityanand Kanungo,Indian National Congress,"4,84,807","1,62,723",33.6 %,"23,953",14.70%,1962
Dahod,125,SC,Gujarat,Hirabhai Kunverbhai Baria,Swatantra,"4,43,761","2,50,518",56.5 %,"4,413",1.80%,1962
Daimond Harbour,460,GEN,West Bengal,Sudhanshu Bhushan Das,Indian National Congress,"5,82,113","3,28,720",56.5 %,"19,140",5.80%,1962
Damoh,171,SC,Madhya Pradesh [1947 - 1999],Sahodra Bai,Indian National Congress,"4,19,223","1,96,144",46.8 %,"27,975",14.30%,1962
Darbhanga,72,GEN,Bihar [1947 - 1999],Shree Narayan Das,Indian National Congress,"4,87,848","2,01,729",41.4 %,"60,337",29.90%,1962
Darjeeling,448,GEN,West Bengal,T. Manaen,Indian National Congress,"4,21,110","1,97,796",47.0 %,"8,427",4.30%,1962
Darrang,51,GEN,Assam,Bijoy Chandra Bhagabati,Indian National Congress,"3,78,754","2,12,851",56.2 %,"95,796",45.00%,1962
Dausa,341,GEN,Rajasthan,Prithvi Raj,Swatantra,"4,18,962","2,50,386",59.8 %,"89,696",35.80%,1962
Dehra Dun,445,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,"4,04,429","2,47,623",61.2 %,"74,392",30.00%,1962
Delhi Sadar,484,GEN,Delhi,Shiv Charan Gupta,Indian National Congress,"2,34,520","1,67,274",71.3 %,"23,534",14.10%,1962
Deoria,401,GEN,Uttar Pradesh [1947 - 1999],Vaishwanath,Indian National Congress,"4,15,334","2,08,199",50.1 %,"19,241",9.20%,1962
Dewas,180,SC,Madhya Pradesh [1947 - 1999],Hukumchand,Jan Sangh,"4,38,964","2,40,615",54.8 %,"7,149",3.00%,1962
Dhanbad,101,GEN,Bihar [1947 - 1999],P. R. Chakravarti,Indian National Congress,"4,51,555","2,07,276",45.9 %,"24,206",11.70%,1962
Dharwar North,278,GEN,Mysore,Sarojini Bindurao Mahishi,Indian National Congress,"4,39,047","2,75,322",62.7 %,"1,53,550",55.80%,1962
Dharwar South,277,GEN,Mysore,Fakruddin Husseinsab Mohasin,Indian National Congress,"4,19,192","2,81,286",67.1 %,"75,240",26.70%,1962
Dhenkanal,306,GEN,Orissa,Baishnab Charan Patnaik,Indian National Congress,"4,39,926","1,35,057",30.7 %,"52,288",38.70%,1962
Dhubri,47,GEN,Assam,Mau Ghysuddin Ahammad,Indian National Congress,"3,91,360","2,19,296",56.0 %,"27,516",12.50%,1962
Dhulia,250,GEN,Maharashtra,Chudaman Ananda Ravandale,Indian National Congress,"4,67,691","2,82,407",60.4 %,"94,855",33.60%,1962
Dibrugarh,55,GEN,Assam,Jogendra Nath Hazarika,Indian National Congress,"3,90,564","1,81,805",46.6 %,"56,830",31.30%,1962
Dindigul,210,GEN,Madras,T. S. Soundaram Ramachandram,Indian National Congress,"4,61,145","3,31,580",71.9 %,"53,653",16.20%,1962
Domariaganj,395,GEN,Uttar Pradesh [1947 - 1999],Kripa Shanker,Indian National Congress,"4,16,674","2,17,578",52.2 %,"1,579",0.70%,1962
Dumka,81,ST,Bihar [1947 - 1999],Satya Chandra Besra,Indian National Congress,"3,99,218","1,40,848",35.3 %,"1,085",0.80%,1962
Durg,167,GEN,Madhya Pradesh [1947 - 1999],Mohanlal Bakliwal,Indian National Congress,"5,19,964","2,25,832",43.4 %,"28,868",12.80%,1962
Eluru,11,GEN,Andhra Pradesh,Viramachaneni Vimaladevi,Communist Party Of India,"4,70,098","3,43,907",73.2 %,"1,469",0.40%,1962
Ernakulam,140,GEN,Kerala,A. M. Thomas,Indian National Congress,"4,55,280","3,63,493",79.8 %,"23,399",6.40%,1962
Erode,202,GEN,Madras,Paramasiva Gounder,Indian National Congress,"4,78,370","3,52,663",73.7 %,"39,178",11.10%,1962
Etah,430,GEN,Uttar Pradesh [1947 - 1999],Bishan Chandra Seth,Akhil Bharatiya Hindu Mahasabha,"4,19,948","2,37,064",56.5 %,"10,614",4.50%,1962
Etawah,426,GEN,Uttar Pradesh [1947 - 1999],Gopi Nath Dikshit,Indian National Congress,"4,25,674","2,46,979",58.0 %,"3,139",1.30%,1962
Faizabad,387,GEN,Uttar Pradesh [1947 - 1999],Brij Basi Lal,Indian National Congress,"3,99,568","1,98,370",49.7 %,"10,852",5.50%,1962
Farrukhabad,427,GEN,Uttar Pradesh [1947 - 1999],Mul Chand,Indian National Congress,"4,75,245","2,49,045",52.4 %,"14,278",5.70%,1962
Fatehpur,418,GEN,Uttar Pradesh [1947 - 1999],Gauri Shankar Alias Gauri Babu,Independent,"4,35,714","1,80,138",41.3 %,"29,253",16.20%,1962
Ferozepur,327,GEN,Punjab,Iqbal Singh,Indian National Congress,"5,21,386","3,32,188",63.7 %,"32,152",9.70%,1962
Firozabad,432,GEN,Uttar Pradesh [1947 - 1999],Shambhu Nath Chaturvedi,Indian National Congress,"4,50,593","2,27,824",50.6 %,"13,239",5.80%,1962
Gadwal,29,GEN,Andhra Pradesh,Janumpally Rameshwar Rao,Indian National Congress,"4,47,475","2,68,559",60.0 %,"15,834",5.90%,1962
Ganganagar,358,SC,Rajasthan,Panna Lal,Indian National Congress,"5,74,159","3,51,807",61.3 %,"59,620",16.90%,1962
Garhwal,361,GEN,Uttar Pradesh [1947 - 1999],Bhakta Darshan,Indian National Congress,"3,91,864","1,48,825",38.0 %,"33,777",22.70%,1962
Gauhati,49,GEN,Assam,Hem Borua,Praja Socialist Party,"4,67,175","2,80,492",60.0 %,"32,062",11.40%,1962
Gaya,98,GEN,Bihar [1947 - 1999],Brajeshwar Prasad,Indian National Congress,"3,37,429","1,68,595",50.0 %,"18,798",11.10%,1962
Gazipur,408,GEN,Uttar Pradesh [1947 - 1999],Viswanath Singh Gahmari,Indian National Congress,"3,99,020","2,19,895",55.1 %,"36,863",16.80%,1962
Ghatal,469,GEN,West Bengal,Sachindra Nath Choudhury,Indian National Congress,"5,23,928","3,41,324",65.2 %,"30,838",9.00%,1962
Ghatampur,423,SC,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,"4,42,776","2,18,833",49.4 %,"21,996",10.10%,1962
Ghosi,405,GEN,Uttar Pradesh [1947 - 1999],Jai Bahadur,Communist Party Of India,"4,33,042","2,44,629",56.5 %,"8,692",3.60%,1962
Giridih,100,GEN,Bihar [1947 - 1999],Thakur Bateshwar Singh,Swatantra,"3,74,463","1,29,147",34.5 %,"3,458",2.70%,1962
Goalpara,48,ST,Assam,Dharani Dhor Basumotari,Indian National Congress,"4,29,220","2,29,232",53.4 %,"30,434",13.30%,1962
Godda,80,GEN,Bihar [1947 - 1999],Prabhudayal Himmatsingka,Indian National Congress,"3,95,448","1,93,437",48.9 %,"19,585",10.10%,1962
Gohichettipalayam,203,GEN,Madras,P. G. Karuthiruman,Indian National Congress,"4,35,401","2,98,854",68.6 %,"71,435",23.90%,1962
Gonda,393,GEN,Uttar Pradesh [1947 - 1999],Ram Ratan Gupta,Indian National Congress,"4,37,337","2,06,220",47.2 %,498,0.20%,1962
Gondia,259,SC,Maharashtra,Balkrishna Ramchandra Wasnik,Indian National Congress,"4,62,370","2,74,773",59.4 %,"10,925",4.00%,1962
Gopalganj,59,GEN,Bihar [1947 - 1999],Dwaika Nath Tiwari,Indian National Congress,"4,22,101","2,04,989",48.6 %,"38,617",18.80%,1962
Gorakhpur,398,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,"4,13,275","2,11,551",51.2 %,"3,260",1.50%,1962
Gudivada,12,GEN,Andhra Pradesh,Manganti Ankineedu,Indian National Congress,"4,93,266","3,88,490",78.8 %,"16,734",4.30%,1962
Gulbarga,271,GEN,Mysore,Mahadevappa Yeshwantappa,Indian National Congress,"4,13,239","1,84,634",44.7 %,"8,073",4.40%,1962
Guna,152,GEN,Madhya Pradesh [1947 - 1999],Ramsahai Shivprasad Pande,Indian National Congress,"4,81,461","2,25,007",46.7 %,"19,726",8.80%,1962
Guntur,16,GEN,Andhra Pradesh,Kotha Raghu Ramaiah,Indian National Congress,"5,16,008","3,68,813",71.5 %,"99,942",27.10%,1962
Gurdaspur,334,GEN,Punjab,Dewan Chand,Indian National Congress,"4,54,322","2,98,900",65.8 %,"56,498",18.90%,1962
Gurgaon,323,GEN,Punjab,Gajraj Singh,Indian National Congress,"5,00,008","3,19,542",63.9 %,"18,418",5.80%,1962
Gwalior,150,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Indian National Congress,"4,31,098","2,36,915",55.0 %,"1,48,820",62.80%,1962
